rep,features,metric,rang,artiste,distance
3,mfw,cosine_delta,24,Lacrim,0.8332256619218497
3,mfw,cosine_delta,25,Niska,0.8381317943637424
3,mfw,burrows_delta,1,SCH,0.6832775329367976
3,mfw,burrows_delta,2,Maes,0.6895419292551498
3,mfw,burrows_delta,3,Zkr,0.6940440108372712
3,mfw,burrows_delta,4,Panama Bende,0.69577276762001
3,mfw,burrows_delta,5,YL,0.7021414729268199
3,mfw,burrows_delta,6,L’Animalerie,0.7122503639606771
3,mfw,burrows_delta,7,S-Crew,0.7125161222191159
3,mfw,burrows_delta,8,Sofiane,0.7148107226039034
3,mfw,burrows_delta,9,Intouchable,0.7163470911625592
3,mfw,burrows_delta,10,Rimkus,0.7190411426005844
3,mfw,burrows_delta,11,Lemon Haze,0.720490543696008
3,mfw,burrows_delta,12,PLK,0.7213773895412852
3,mfw,burrows_delta,13,Niro,0.7235425172407774
3,mfw,burrows_delta,14,Graya,0.7246298219970628
3,mfw,burrows_delta,15,Leck,0.7329826974876681
3,mfw,burrows_delta,16,S-Pion,0.7350689545724708
3,mfw,burrows_delta,17,Mister V,0.7382324502051365
3,mfw,burrows_delta,18,Zikxo,0.7385113214333088
3,mfw,burrows_delta,19,ASHE 22,0.7429417303663284
3,mfw,burrows_delta,20,Lesram,0.7444584257765807
3,mfw,burrows_delta,21,Mokobé,0.7464250490674531
3,mfw,burrows_delta,22,Saké (FRA),0.7473696688127215
3,mfw,burrows_delta,23,Dibson,0.7479338799963703
3,mfw,burrows_delta,24,Zola,0.7491723818062873
3,mfw,burrows_delta,25,Alpha Wann,0.7507910768275758
3,char,cosine_delta,1,Maes,0.8085113266196825
3,char,cosine_delta,2,UZI (FRA),0.8146570109687173
3,char,cosine_delta,3,Kerchak,0.8235842300451824
3,char,cosine_delta,4,Rimkus,0.8341035187362728
3,char,cosine_delta,5,Lemon Haze,0.8365292878153056
3,char,cosine_delta,6,Werenoi,0.8396556620764958
3,char,cosine_delta,7,Koba LaD,0.8412094104565049
3,char,cosine_delta,8,SCH,0.843204664146376
3,char,cosine_delta,9,Worms-T,0.8449083853634292
3,char,cosine_delta,10,Beendo Z,0.8461835550395809
3,char,cosine_delta,11,ASHE 22,0.8514016363271866
3,char,cosine_delta,12,Zola,0.8521490710159283
3,char,cosine_delta,13,PRIME,0.8551117209547701
3,char,cosine_delta,14,Gambino La MG,0.856202832710668
3,char,cosine_delta,15,Hatik,0.8576063439915437
3,char,cosine_delta,16,Timal,0.8576901675993842
3,char,cosine_delta,17,Fresh laDouille,0.859985063154761
3,char,cosine_delta,18,Bosh,0.8601782870209786
3,char,cosine_delta,19,PSO Thug,0.8629073920164236
3,char,cosine_delta,20,Zkr,0.8690643730579921
3,char,cosine_delta,21,Naps,0.8714200394673671
3,char,cosine_delta,22,GLK,0.8746220804352305
3,char,cosine_delta,23,Lesram,0.8747018088295008
3,char,cosine_delta,24,Niska,0.874876611683845
3,char,cosine_delta,25,Gambi,0.8759328108633218
