url,lyrics_ok,lyrics_exact,d_n_words,d_n_unique,d_n_je,d_n_lines,d_mwl
https://genius.com/Ateyaba-outro-lyrics,True,True,0,0,0,0,0.0
https://genius.com/Orelsan-cp-009-evidemment-lyrics,True,False,-316,-82,-7,-42,0.018772184172378914
https://genius.com/Kamini-ca-cest-showbizz-lyrics,True,False,-898,-184,-30,-120,-0.13477447177845558
https://genius.com/Medine-enfant-du-destin-daoud-lyrics,True,False,-26,-13,0,-4,-0.02007373327010864
https://genius.com/Hayce-lemsi-gravon-lyrics,True,False,-338,-112,-26,-44,0.06936648904677689
https://genius.com/Elams-chacun-son-sort-lyrics,True,False,-304,-103,-9,-38,0.08147539948209381
https://genius.com/So-la-lune-shinobi-lyrics,True,False,-417,-93,-24,-26,-0.12625224762393605
https://genius.com/Furax-barbarossa-itineraire-bis-lyrics,True,False,-486,-180,-13,-52,-0.5354790137398862
https://genius.com/Gims-cameleon-lyrics,True,False,-3,-4,0,0,-0.010383631713550834
https://genius.com/Kemmler-besoin-de-lyrics,True,True,0,0,0,0,2.220446049250313e-15
https://genius.com/Damso-monde-lyrics,True,False,-311,-79,-25,-27,0.02545509862582751
https://genius.com/Youssoupha-esperance-de-vie-lyrics,True,False,-1,-5,0,0,-0.01707069410765616
https://genius.com/Nysay-le-ghetto-brule-lyrics,True,False,-444,-166,-3,-44,-0.08268190558340471
https://genius.com/Seth-gueko-farang-seth-lyrics,True,False,102,-25,44,-2,-0.940295665891119
https://genius.com/Tsr-crew-jungle-urbaine-lyrics,True,False,-647,-296,-22,-53,0.050380431365149025
https://genius.com/Rimk-hall-13-lyrics,True,False,-207,-58,-6,-26,0.13468893078373023
https://genius.com/Georgio-enfants-sauvages-audio-2022-09-21-lyrics,True,False,-429,-124,-10,-28,0.03695930845935047
https://genius.com/Doums-zenith-lyrics,True,False,-377,-65,-1,-27,0.0436037126715112
https://genius.com/Krisy-interlude-x-jennifer-love-hewitt-lyrics,True,True,0,0,0,0,2.220446049250313e-15
https://genius.com/Ol-kainry-tchikibaba-lyrics,False,False,-229,-46,-13,-37,0.058158290916910715
https://genius.com/A2h-elle-ne-veut-pas-lyrics,True,False,-194,-76,-10,-19,-0.10070830152579413
https://genius.com/Soolking-on-ira-lyrics,True,False,-218,-50,-7,-19,-0.09280936454849664
https://genius.com/Volts-face-young-bikow-2-lyrics,True,False,-230,-84,-20,-20,0.16294850046410447
https://genius.com/Eddy-de-pretto-mendiant-de-love-lyrics,True,False,-359,-45,-31,-44,0.16548788474132659
https://genius.com/Kaaris-27-zero-1017-lyrics,True,False,-397,-150,-3,-41,0.24985184193924503
https://genius.com/Nusky-appelle-moi-lyrics,True,False,-75,-7,-3,-12,-0.162717770034845
https://genius.com/Sch-lampadaire-lyrics,True,False,-65,-34,-5,-6,-0.005975134175068675
https://genius.com/So-la-lune-eternelle-lyrics,True,False,-34,-4,0,-2,0.056412333925659475
https://genius.com/Mister-you-jvais-tapprendre-a-respecter-lyrics,True,False,-482,-122,-31,-43,0.2110001677612603
https://genius.com/Al-peco-comment-ca-lyrics,True,False,-191,-71,-3,-16,-0.03842326232312665
https://genius.com/Mhd-ma-vie-lyrics,True,False,-171,-45,-5,-19,-0.02270093482012081
https://genius.com/Disiz-vega-lyrics,True,False,-149,-53,-8,-15,-0.16907374631268768
https://genius.com/Demi-portion-memoire-lyrics,True,False,-42,-4,0,-4,-0.013623768472907916
https://genius.com/Oxmo-puccino-quand-jarrive-lyrics,True,False,1,-4,0,0,-0.0359731600092581
https://genius.com/Tito-prince-365-jours-hustler-lyrics,True,False,-291,-106,-9,-30,-0.20428422152560088
https://genius.com/Souffrance-tour-de-magie-lyrics,True,False,-170,-24,-24,-10,0.04251326193574512
https://genius.com/Hamza-millions-lyrics,True,False,-331,-104,-21,-43,-0.2424175021051438
https://genius.com/Caballero-cette-voix-qui-resonne-lyrics,True,False,-288,-49,-20,-32,-0.0046135794921640105
https://genius.com/Tlf-cruel-lyrics,True,False,-591,-261,-19,-61,-0.26906183840489994
https://genius.com/Mysa-dans-les-yeux-lyrics,True,False,-300,-116,-10,-28,-0.02054311736009895
https://genius.com/Nahir-glock-lyrics,True,False,-342,-97,-22,-19,-0.009548949438400012
https://genius.com/4keus-moula-lyrics,True,False,-488,-130,-14,-53,-0.01757874236538104
https://genius.com/Shurikn-qui-va-la-lyrics,True,True,0,0,0,0,-4.440892098500626e-16
